orderid,productid,quantity,unitprice,discount,tax,totalamount,deliverystatus
1,18,23,779.20,25.28,27.36,2036.74,
2,40,11,1919.23,22.13,21.19,7149.44,
3,3,8,1777.16,24.06,29.73,8402.10,
4,10,87,2494.73,27.34,27.93,6369.22,
5,28,56,1844.18,24.47,23.29,4739.44,
6,10,55,2390.10,24.27,25.39,6564.38,
7,25,91,304.24,20.73,24.23,5078.05,
8,4,78,2846.24,22.06,29.23,9315.74,
9,36,86,268.37,26.83,26.85,5995.91,
10,27,97,1440.83,25.65,22.56,1825.96,
11,3,27,933.55,27.73,24.95,960.46,
12,19,42,721.77,24.68,28.10,8387.22,
13,37,68,624.68,20.71,24.17,7240.87,
14,32,78,2782.14,22.27,27.37,2288.50,
15,6,17,1901.58,20.34,20.10,4162.05,
16,18,40,1901.45,21.76,21.09,7854.41,
17,4,45,1742.13,29.59,25.92,351.97,
18,4,12,1147.94,26.56,29.54,2078.77,
19,29,11,539.02,21.83,26.59,2273.96,
20,10,78,1179.35,25.61,20.43,6724.04,
21,29,97,194.59,27.89,23.47,4715.59,
22,2,37,635.47,28.46,20.35,6372.32,
23,13,14,2069.33,25.21,27.99,7565.04,
24,26,54,2043.50,21.76,28.60,8923.76,
25,15,25,2581.22,22.94,20.59,8927.76,
26,29,73,2457.40,25.90,27.08,6505.41,
27,4,2,742.85,25.31,27.49,1814.83,
28,4,42,920.42,22.37,29.13,261.39,
29,35,49,836.15,22.50,29.22,4883.56,
30,29,63,360.67,29.38,24.24,6548.37,
31,11,1,2841.01,20.62,23.07,4940.51,
32,29,23,2170.14,20.58,23.15,3599.82,
33,18,84,1551.96,29.49,25.97,1342.04,
34,21,4,815.81,29.65,27.70,7868.35,
35,15,4,2022.06,27.37,21.02,4521.35,
36,1,88,384.33,29.80,21.09,2991.75,
37,33,42,803.79,25.62,25.52,8690.67,
38,38,17,1136.11,23.83,21.15,3891.68,
39,20,40,603.97,25.38,24.78,2991.95,
40,22,2,2588.87,22.38,21.83,7793.34,
41,26,26,1067.70,23.63,24.97,8420.35,
42,18,49,2057.51,25.56,25.52,5620.97,
43,37,95,341.17,21.80,29.59,8560.15,
44,13,33,1833.99,24.86,29.34,1993.26,
45,10,98,789.08,22.52,29.61,8853.42,
46,32,83,2454.54,21.48,29.83,3805.11,
47,32,67,787.37,21.57,25.40,5232.75,
48,3,52,1433.13,28.21,24.43,6327.54,
49,10,88,1932.13,29.34,29.31,3204.55,
50,13,74,2461.58,28.24,23.94,7791.09,
51,19,12,2858.34,24.59,24.43,7670.35,
52,11,83,2508.88,20.93,21.37,2325.19,
53,29,90,1160.23,22.05,22.88,600.78,
54,13,64,1827.34,29.59,22.26,2617.43,
55,21,61,1392.46,25.81,23.54,7285.91,
56,25,89,1041.71,29.13,29.64,4852.32,
57,4,69,2008.90,23.24,23.07,780.84,
58,7,99,1994.54,25.17,24.44,8135.19,
59,31,1,2483.37,29.21,25.39,4701.08,
60,12,31,1267.47,22.25,22.58,9511.52,
61,5,89,793.67,24.25,29.20,9177.75,
62,3,10,523.20,22.15,28.30,843.54,
63,21,66,2816.04,27.91,25.98,3394.19,
64,29,30,2136.21,20.67,24.33,8632.31,
65,3,46,1096.26,29.17,25.75,5656.50,
66,6,5,2220.63,22.48,23.58,3606.82,
67,26,57,1092.94,29.88,24.58,5161.41,
68,8,30,158.81,22.91,27.79,2480.44,
69,36,37,2795.33,22.46,23.06,2385.51,
70,7,34,2660.31,20.41,22.96,898.95,
71,27,25,2091.37,25.28,29.27,8297.92,
72,33,12,1996.61,20.43,27.32,9364.88,
73,21,87,746.71,24.84,29.16,2433.32,
74,37,32,773.42,25.39,21.09,5033.98,
75,37,16,846.17,20.51,25.63,4694.18,
76,40,8,2388.78,26.20,24.03,3508.43,
77,23,43,2793.31,22.62,20.58,2557.52,
78,10,4,2691.31,20.21,22.93,3555.84,
79,4,47,573.10,25.38,29.22,2868.74,
80,16,45,2413.50,20.86,21.22,9767.72,
81,9,36,404.72,20.30,25.91,415.06,
82,32,63,2749.63,27.58,25.20,4718.22,
83,13,96,830.23,25.23,25.24,2533.06,
84,22,18,1925.86,21.82,24.19,5876.95,
85,10,38,1227.39,27.43,29.82,6143.18,
86,21,61,2765.41,23.79,27.45,8033.05,
87,17,22,514.45,27.28,27.12,5891.28,
88,12,8,1959.26,29.43,28.56,2074.72,
89,40,56,299.39,29.43,22.31,4780.84,
90,32,53,336.75,27.76,22.20,2735.83,
91,27,80,1475.59,24.59,23.78,563.30,
