TimeKey,Date,Year,Quarter,Month,Week,Day,Weekday,FiscalYear,FiscalQuarter
1,2000-01-05,2000,2000Q1,January,1,5,Wednesday,2000,2000Q1
2,2000-01-06,2000,2000Q1,January,1,6,Thursday,2000,2000Q1
3,2000-01-07,2000,2000Q1,January,1,7,Friday,2000,2000Q1
4,2000-01-08,2000,2000Q1,January,1,8,Saturday,2000,2000Q1
5,2000-01-09,2000,2000Q1,January,1,9,Sunday,2000,2000Q1
6,2000-01-10,2000,2000Q1,January,2,10,Monday,2000,2000Q1
7,2000-01-11,2000,2000Q1,January,2,11,Tuesday,2000,2000Q1
8,2000-01-12,2000,2000Q1,January,2,12,Wednesday,2000,2000Q1
9,2000-01-13,2000,2000Q1,January,2,13,Thursday,2000,2000Q1
10,2000-01-14,2000,2000Q1,January,2,14,Friday,2000,2000Q1
11,2000-01-15,2000,2000Q1,January,2,15,Saturday,2000,2000Q1
12,2000-01-16,2000,2000Q1,January,2,16,Sunday,2000,2000Q1
13,2000-01-17,2000,2000Q1,January,3,17,Monday,2000,2000Q1
14,2000-01-18,2000,2000Q1,January,3,18,Tuesday,2000,2000Q1
15,2000-01-19,2000,2000Q1,January,3,19,Wednesday,2000,2000Q1
16,2000-01-20,2000,2000Q1,January,3,20,Thursday,2000,2000Q1
17,2000-01-21,2000,2000Q1,January,3,21,Friday,2000,2000Q1
18,2000-01-22,2000,2000Q1,January,3,22,Saturday,2000,2000Q1
19,2000-01-23,2000,2000Q1,January,3,23,Sunday,2000,2000Q1
20,2000-01-24,2000,2000Q1,January,4,24,Monday,2000,2000Q1
21,2000-01-25,2000,2000Q1,January,4,25,Tuesday,2000,2000Q1
22,2000-01-26,2000,2000Q1,January,4,26,Wednesday,2000,2000Q1
23,2000-01-27,2000,2000Q1,January,4,27,Thursday,2000,2000Q1
24,2000-01-28,2000,2000Q1,January,4,28,Friday,2000,2000Q1
25,2000-01-29,2000,2000Q1,January,4,29,Saturday,2000,2000Q1
26,2000-01-30,2000,2000Q1,January,4,30,Sunday,2000,2000Q1
27,2000-01-31,2000,2000Q1,January,5,31,Monday,2000,2000Q1
28,2000-02-01,2000,2000Q1,February,5,1,Tuesday,2000,2000Q1
29,2000-02-02,2000,2000Q1,February,5,2,Wednesday,2000,2000Q1
30,2000-02-03,2000,2000Q1,February,5,3,Thursday,2000,2000Q1
31,2000-02-04,2000,2000Q1,February,5,4,Friday,2000,2000Q1
32,2000-02-05,2000,2000Q1,February,5,5,Saturday,2000,2000Q1
33,2000-02-06,2000,2000Q1,February,5,6,Sunday,2000,2000Q1
34,2000-02-07,2000,2000Q1,February,6,7,Monday,2000,2000Q1
35,2000-02-08,2000,2000Q1,February,6,8,Tuesday,2000,2000Q1
36,2000-02-09,2000,2000Q1,February,6,9,Wednesday,2000,2000Q1
37,2000-02-10,2000,2000Q1,February,6,10,Thursday,2000,2000Q1
38,2000-02-11,2000,2000Q1,February,6,11,Friday,2000,2000Q1
39,2000-02-12,2000,2000Q1,February,6,12,Saturday,2000,2000Q1
40,2000-02-13,2000,2000Q1,February,6,13,Sunday,2000,2000Q1
41,2000-02-14,2000,2000Q1,February,7,14,Monday,2000,2000Q1
42,2000-02-15,2000,2000Q1,February,7,15,Tuesday,2000,2000Q1
43,2000-02-16,2000,2000Q1,February,7,16,Wednesday,2000,2000Q1
44,2000-02-17,2000,2000Q1,February,7,17,Thursday,2000,2000Q1
45,2000-02-18,2000,2000Q1,February,7,18,Friday,2000,2000Q1
46,2000-02-19,2000,2000Q1,February,7,19,Saturday,2000,2000Q1
47,2000-02-20,2000,2000Q1,February,7,20,Sunday,2000,2000Q1
48,2000-02-21,2000,2000Q1,February,8,21,Monday,2000,2000Q1
49,2000-02-22,2000,2000Q1,February,8,22,Tuesday,2000,2000Q1
50,2000-02-23,2000,2000Q1,February,8,23,Wednesday,2000,2000Q1
51,2000-02-24,2000,2000Q1,February,8,24,Thursday,2000,2000Q1
52,2000-02-25,2000,2000Q1,February,8,25,Friday,2000,2000Q1
53,2000-02-26,2000,2000Q1,February,8,26,Saturday,2000,2000Q1
54,2000-02-27,2000,2000Q1,February,8,27,Sunday,2000,2000Q1
55,2000-02-28,2000,2000Q1,February,9,28,Monday,2000,2000Q1
56,2000-02-29,2000,2000Q1,February,9,29,Tuesday,2000,2000Q1
57,2000-03-01,2000,2000Q1,March,9,1,Wednesday,2000,2000Q1
58,2000-03-02,2000,2000Q1,March,9,2,Thursday,2000,2000Q1
59,2000-03-03,2000,2000Q1,March,9,3,Friday,2000,2000Q1
60,2000-03-04,2000,2000Q1,March,9,4,Saturday,2000,2000Q1
61,2000-03-05,2000,2000Q1,March,9,5,Sunday,2000,2000Q1
62,2000-03-06,2000,2000Q1,March,10,6,Monday,2000,2000Q1
63,2000-03-07,2000,2000Q1,March,10,7,Tuesday,2000,2000Q1
64,2000-03-08,2000,2000Q1,March,10,8,Wednesday,2000,2000Q1
65,2000-03-09,2000,2000Q1,March,10,9,Thursday,2000,2000Q1
66,2000-03-10,2000,2000Q1,March,10,10,Friday,2000,2000Q1
67,2000-03-11,2000,2000Q1,March,10,11,Saturday,2000,2000Q1
68,2000-03-12,2000,2000Q1,March,10,12,Sunday,2000,2000Q1
69,2000-03-13,2000,2000Q1,March,11,13,Monday,2000,2000Q1
70,2000-03-14,2000,2000Q1,March,11,14,Tuesday,2000,2000Q1
71,2000-03-15,2000,2000Q1,March,11,15,Wednesday,2000,2000Q1
72,2000-03-16,2000,2000Q1,March,11,16,Thursday,2000,2000Q1
73,2000-03-17,2000,2000Q1,March,11,17,Friday,2000,2000Q1
74,2000-03-18,2000,2000Q1,March,11,18,Saturday,2000,2000Q1
75,2000-03-19,2000,2000Q1,March,11,19,Sunday,2000,2000Q1
76,2000-03-20,2000,2000Q1,March,12,20,Monday,2000,2000Q1
77,2000-03-21,2000,2000Q1,March,12,21,Tuesday,2000,2000Q1
78,2000-03-22,2000,2000Q1,March,12,22,Wednesday,2000,2000Q1
79,2000-03-23,2000,2000Q1,March,12,23,Thursday,2000,2000Q1
80,2000-03-24,2000,2000Q1,March,12,24,Friday,2000,2000Q1
81,2000-03-25,2000,2000Q1,March,12,25,Saturday,2000,2000Q1
82,2000-03-26,2000,2000Q1,March,12,26,Sunday,2000,2000Q1
83,2000-03-27,2000,2000Q1,March,13,27,Monday,2000,2000Q1
84,2000-03-28,2000,2000Q1,March,13,28,Tuesday,2000,2000Q1
85,2000-03-29,2000,2000Q1,March,13,29,Wednesday,2000,2000Q1
86,2000-03-30,2000,2000Q1,March,13,30,Thursday,2000,2000Q1
87,2000-03-31,2000,2000Q1,March,13,31,Friday,2000,2000Q1
88,2000-04-01,2000,2000Q2,April,13,1,Saturday,2000,2000Q2
89,2000-04-02,2000,2000Q2,April,13,2,Sunday,2000,2000Q2
90,2000-04-03,2000,2000Q2,April,14,3,Monday,2000,2000Q2
91,2000-04-04,2000,2000Q2,April,14,4,Tuesday,2000,2000Q2
92,2000-04-05,2000,2000Q2,April,14,5,Wednesday,2000,2000Q2
93,2000-04-06,2000,2000Q2,April,14,6,Thursday,2000,2000Q2
94,2000-04-07,2000,2000Q2,April,14,7,Friday,2000,2000Q2
95,2000-04-08,2000,2000Q2,April,14,8,Saturday,2000,2000Q2
96,2000-04-09,2000,2000Q2,April,14,9,Sunday,2000,2000Q2
97,2000-04-10,2000,2000Q2,April,15,10,Monday,2000,2000Q2
98,2000-04-11,2000,2000Q2,April,15,11,Tuesday,2000,2000Q2
99,2000-04-12,2000,2000Q2,April,15,12,Wednesday,2000,2000Q2
100,2000-04-13,2000,2000Q2,April,15,13,Thursday,2000,2000Q2
101,2000-04-14,2000,2000Q2,April,15,14,Friday,2000,2000Q2
102,2000-04-15,2000,2000Q2,April,15,15,Saturday,2000,2000Q2
103,2000-04-16,2000,2000Q2,April,15,16,Sunday,2000,2000Q2
104,2000-04-17,2000,2000Q2,April,16,17,Monday,2000,2000Q2
105,2000-04-18,2000,2000Q2,April,16,18,Tuesday,2000,2000Q2
